id,Minimum Degree,Molecular Weight,Number of H-Bond Donors,Number of Rings,Number of Rotatable Bonds,Polar Surface Area
Amigdalin,1,457.43200000000013,7,3,7,202.32
Fenfuram,1,201.225,1,2,2,42.24
citral,1,152.237,0,0,4,17.07
Picene,2,278.35400000000004,0,5,0,0.0
Thiophene,2,84.14299999999999,0,1,0,0.0
benzothiazole,2,135.191,0,2,0,12.89
"2,2,4,6,6'-PCB",1,326.437,0,2,1,0.0
Estradiol,1,272.388,2,4,0,40.46
Dieldrin,1,380.913,0,5,0,12.53
Rotenone,1,394.4230000000002,0,5,3,63.22
2-pyrrolidone,1,85.10600000000002,1,1,0,29.1
2-Chloronapthalene,1,162.61899999999997,0,2,0,0.0
1-Pentene ,1,70.135,0,0,2,0.0
Primidone,1,218.25599999999997,2,2,2,58.2
Tetradecane,1,198.39399999999995,0,0,11,0.0
2-Chloropropane,1,78.542,0,0,0,0.0
2-Methylbutanol,1,88.14999999999998,1,0,2,20.23
Benzonitrile,1,103.12399999999997,0,1,0,23.79
Diazinon,1,304.3520000000001,0,1,7,53.47
2-Undecanol,1,172.312,1,0,8,20.23
"2,2',3,4,6-PCB",1,326.437,0,2,1,0.0
Lenacil,1,234.29899999999995,1,3,1,54.86
Phorate,1,260.386,0,0,8,18.46
Phenacetin,1,179.21900000000002,1,1,3,38.33
Dinitramine,1,322.243,1,1,5,115.54000000000002
1-Heptanol,1,116.204,1,0,5,20.23
Theophylline,1,180.167,1,2,0,72.68
Butethal,1,212.24900000000002,2,1,4,75.27000000000002
"P,P'-DDE",1,318.0300000000001,0,2,2,0.0
Methyl octanoate,1,158.241,0,0,6,26.3
"1,4-Diethylbenzene ",1,134.22199999999998,0,1,2,0.0
Terbufos,1,288.44,0,0,7,18.46
Phenmedipham,1,300.314,2,2,3,76.66
"1,1-Dichloroethylene",1,96.944,0,0,0,0.0
1-Methylfluorene,1,180.25000000000003,0,3,0,0.0
Valeraldehyde,1,86.13399999999999,0,0,3,17.07
Diphenylamine,2,169.227,1,2,2,12.03
Fenothiocarb,1,253.36700000000002,0,1,6,29.540000000000006
Piperophos,1,353.4900000000002,0,1,9,38.77
