,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
Amigdalin,10.069683923626233,-5.122500157578851,10.069683923626233,0.9112947812800043,0.21751778620947723,457.43199999999973,430.21600000000024,457.1584106840006,178.0,0.0,0.2108489413090693,-0.3935665150995826,0.3935665150995826,0.2108489413090693,0.78125,1.3125,1.84375,2.512446989858898,1822.9727846709502,46.449382989376325,41.93794479060245,14.937944790602453,26.489134979527694,20.643207009475994,7.785468976228953,5.261208098788698,5.261208098788698,3.350174038110394,3.350174038110394,1.9160533869279355,1.9160533869279355,-1.73,496725223131.8535,7.382237469722235,10.926355847078131,5.251706120285141,221.47622259028097,54.709109152950695,48.640144215599896,18.612174764023784,10.01839760062844,0.0,0.0,0.0,0.0,5.261891554738487,0.0,30.212093538316473,5.563451491696996,0.0,46.60236292202928,82.12428027635507,0.0,15.280289155366924,0.0,0.0,67.25231897962368,13.117970485832577,35.77554503001347,0.0,6.069221312792274,0.0,0.0,0.0,0.0,120.07032637688523,18.947451815200196,11.33111286753076,39.058640642051394,30.212093538316473,0.0,0.0,0.0,202.31999999999996,116.14583449546973,5.261891554738487,0.0,0.0,0.0,6.069221312792274,0.0,0.0,0.0,45.23538324535059,46.907294631632936,239.36514364146248,0.0,0.0,37.47266588932321,-1.5621660199658602,0.0,-5.704231158527941,-51.827705592600516,-9.493706759691465,0.0,0.65,32.0,7.0,12.0,0.0,2.0,2.0,1.0,0.0,1.0,12.0,7.0,12.0,14.0,0.0,2.0,2.0,3.0,-3.1080199999999985,102.28160000000003,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fenfuram,12.547837301587297,-2.9992804652725296,12.547837301587297,0.09944444444444445,0.8112827471791438,201.22500000000008,190.13699999999997,201.078978592,76.0,0.0,0.2586977476231554,-0.46879879169984223,0.46879879169984223,0.2586977476231554,1.3333333333333333,2.066666666666667,2.8,2.68021536576652,872.7972365371013,20.13531001146206,18.263710176427686,7.263710176427685,11.801324138229173,9.256799626695711,3.8095860311957526,2.423811051497315,2.423811051497315,1.4702037329850903,1.4702037329850903,0.8427123317488675,0.8427123317488675,-2.0299999999999994,309176.87261126743,2.980514178888917,4.002881593971449,2.070848839522495,103.23682723616709,9.726964290341723,7.131005975044663,1.4118420783282006,0.0,5.907179729351506,0.0,4.794537184071822,0.0,0.0,0.0,18.127256122989884,24.979148240285564,9.799661943194222,20.027217463559055,24.331115761155566,11.594566004035068,0.0,0.0,0.0,6.851892117295679,5.309813353288376,53.81742579139195,0.0,0.0,5.309813353288376,5.687386274683562,0.0,0.0,5.907179729351506,0.0,6.851892117295679,29.825821656345454,46.91087781787385,1.4118420783282006,0.0,0.0,42.24,72.26388391272269,4.794537184071822,0.0,5.309813353288376,0.0,0.0,0.0,0.0,0.0,4.417150937053347,15.1194276400304,87.61496742987318,0.0,12.547837301587297,-0.09944444444444445,-1.7208947467876032,-2.454608896027547,-4.8968503558830925,-0.908392489711934,-2.9992804652725296,0.0,0.08333333333333333,15.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,2.0,2.840320000000001,57.840200000000024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
citral,11.07101631393298,-3.8840509259259264,11.07101631393298,1.7074144935752076,0.34370646240024516,152.23700000000014,136.10899999999998,152.120115132,62.0,0.0,0.1422808517749483,-0.2985656613427288,0.2985656613427288,0.1422808517749483,1.1818181818181819,1.9090909090909092,2.4545454545454546,7.099519067393045,638.1591520313576,22.386751345948127,21.408248290463863,5.408248290463863,11.502776749732568,10.454124145231932,2.4541241452319316,1.3520620726159658,1.3520620726159658,0.5510310363079829,0.5510310363079829,0.2385310363079829,0.2385310363079829,-0.8500000000000001,91525.31082158786,1.3434832357742217,5.899350869955592,7.042355752945163,91.28557409575922,0.0,7.632970718501461,0.0,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,17.198280806174104,39.35359790058136,17.819861230212858,2.7415171123404405,26.726674082795338,6.262212162331241,0.0,0.0,0.0,33.3015261545458,0.0,23.25035255220967,0.0,0.0,0.0,0.0,0.0,0.0,6.262212162331241,4.794537184071822,0.0,55.23366305326937,23.25035255220967,0.0,0.0,0.0,17.07,62.8140908690867,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.932136898723517,117.98145699483497,0.0,11.07101631393298,0.0,-3.5021471088435363,0.0,-3.569007464096749,-9.717799587427567,-10.680185815066771,0.0,0.5,11.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,2.878000000000001,48.48600000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Picene,8.745488473167045,-0.6417938446167166,8.745488473167045,0.2605683631477278,0.2915258276662409,278.3539999999997,264.24199999999996,278.1095504480004,102.0,0.0,0.06296888179702244,-0.061628992679159875,0.06296888179702244,0.061628992679159875,0.22727272727272727,0.4090909090909091,0.7727272727272727,2.2974644163905737,1736.5382505543853,26.701705922171772,25.0,11.0,16.74957043532143,13.5,6.5,4.75,4.75,3.5625,3.5625,2.5625,2.5625,-2.8599999999999985,73690889.10104182,4.56596628223297,4.315741298567014,1.5232857363736618,147.8276482487871,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84.59386190728614,43.089793715718365,0.0,19.190619786383078,19.190619786383078,43.089793715718365,0.0,0.0,0.0,0.0,0.0,84.59386190728614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.190619786383078,84.59386190728614,0.0,43.089793715718365,0.0,0.0,84.59386190728614,0.0,0.0,43.089793715718365,0.0,0.0,0.0,0.0,0.0,0.0,19.190619786383078,117.30485832258088,0.0,0.0,-2.204807723007576,0.0,0.0,-8.433383932906631,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.299400000000004,96.46600000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thiophene,6.980324074074074,-0.13425925925925908,6.980324074074074,0.004629629629629983,0.44892664601443366,84.14299999999997,80.11099999999999,84.003371128,26.0,0.0,0.07394003263785366,-0.152454341484825,0.152454341484825,0.07394003263785366,1.4,2.0,2.2,3.292165666314956,206.2166615309899,7.016507857945051,6.408248290463863,3.224744871391589,4.125897657686229,3.158248290463863,1.974744871391589,0.5561862178478973,1.1685586535436916,0.26662414523193156,0.6748724356957945,0.1275775907699572,0.38273277230987157,-0.30000000000000004,109.16177843814495,0.8500858766019291,1.2210502489814397,0.48406518786781355,40.691648390579715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.336785877934737,0.0,12.08483741532659,10.712228819335198,0.0,5.483034224680881,5.483034224680881,11.336785877934737,0.0,0.0,0.0,0.0,0.0,22.797066234661784,0.0,0.0,0.0,0.0,0.0,11.336785877934737,0.0,0.0,0.0,5.483034224680881,22.797066234661784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.797066234661784,0.0,11.336785877934737,0.0,0.0,0.0,0.0,5.483034224680881,27.90509259259259,0.8541666666666664,0.0,0.009259259259259967,0.0,0.0,-0.26851851851851793,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.7480999999999998,24.318999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
benzothiazole,7.535324074074074,-0.2983333333333331,7.535324074074074,0.0064814814814817545,0.5397735725540235,135.19100000000003,130.15099999999998,135.01427016,44.0,0.0,0.09600201559744774,-0.24466569355957457,0.24466569355957457,0.09600201559744774,1.2222222222222223,2.111111111111111,3.111111111111111,3.0083337796324856,475.50989086848824,10.455665446700475,9.355461885963821,5.171958466891547,6.519744507803583,4.8554618859638214,3.1719584668915473,1.4828835073903939,2.2778301289212433,0.9396615823582023,1.621771151574648,0.5611178840966289,1.0847468545399068,-0.8900000000000001,1826.9031788384204,2.0592355548010186,1.8099381529483718,0.7153528638653945,63.997931403429256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9839785209472085,0.0,11.336785877934737,12.08483741532659,12.08483741532659,0.0,22.55700432775553,6.853792780851101,21.553406512020096,0.0,4.9839785209472085,0.0,0.0,0.0,29.656265743472243,0.0,0.0,0.0,0.0,0.0,11.336785877934737,4.9839785209472085,0.0,0.0,6.853792780851101,29.656265743472243,0.0,10.216620634085363,0.0,12.89,0.0,0.0,0.0,35.17296646108851,4.699919916469101,11.336785877934737,0.0,0.0,0.0,4.9839785209472085,6.853792780851101,37.45199074074074,0.960509259259259,3.7498148148148145,0.0,0.19259259259259331,0.0,-0.8549074074074061,0.0,0.0,0.0,0.0,9.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.2962999999999996,39.62000000000001,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
"2,2,4,6,6'-PCB",7.802813995968758,-0.4470811987346377,7.802813995968758,0.05580246913580189,0.5521362037971856,326.43699999999995,321.39700000000005,323.8833885600001,88.0,0.0,0.06544339124123567,-0.08423255474220379,0.08423255474220379,0.06544339124123567,0.47058823529411764,0.8235294117647058,1.2352941176470589,3.026914071477952,679.959813936206,16.928203230275514,12.889822365046136,11.669467095138408,10.106836025229592,6.694911182523068,6.084733547569204,2.9449111825230676,4.834733547569205,1.9114378277661472,3.2343134832984437,1.246638603563952,2.6684872392632846,-0.11000000000000015,54493.88210944759,8.139277558005782,5.255925392825009,2.669225413029379,131.0296809608084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.04711815882587,24.16967483065318,26.19480292461797,16.899059408333752,6.853792780851101,58.00469945116258,0.0,0.0,0.0,0.0,0.0,55.325260107023105,0.0,11.126902983393991,0.0,0.0,0.0,58.00469945116258,0.0,0.0,0.0,6.853792780851101,30.212093538316473,25.11316656870663,11.126902983393991,0.0,0.0,18.127256122989884,0.0,0.0,48.32490696742721,0.0,0.0,0.0,0.0,0.0,0.0,64.85849223201369,38.72791054281795,30.047209414630046,0.0,-1.1205494667002576,-0.12246913580246788,0.0,-1.9765457993897135,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,2.0,6.620600000000001,76.92800000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Estradiol,9.518316562736207,-4.835956986961452,9.518316562736207,1.21609037468931,0.757169743555686,272.3879999999997,248.19599999999994,272.17763000800045,108.0,0.0,0.29309232468190016,-0.5079560321952997,0.5079560321952997,0.29309232468190016,1.05,2.05,2.9,2.547205329303218,1451.4257327470716,34.878315177510856,33.816496580927726,9.816496580927726,19.235416320188733,17.47474487139159,5.658248290463863,4.408248290463863,4.408248290463863,3.2436862178478973,3.2436862178478973,2.2411086270779395,2.2411086270779395,-1.02,513069566.5201672,2.902268906370586,4.2366779154371,1.604791759224291,154.27431505634252,10.217616382214425,5.749511833283905,0.0,1.4311996572326342,1.4311996572326342,0.0,0.0,0.0,0.0,0.0,12.894310824958975,84.54615333218287,24.673654011063956,11.563052251630868,40.37430461795928,0.0,2.8623993144652684,0.0,17.202905840122938,57.063417237585014,0.0,29.254159106383874,0.0,5.749511833283905,0.0,0.0,5.749511833283905,0.0,19.160033723629684,6.372924901329379,17.202905840122938,85.89406552844444,18.127256122989884,0.0,0.0,0.0,40.46,109.26999401737574,4.1122756685106605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.217616382214425,28.906811881699447,207.2639714090156,0.0,0.0,8.232522811951021,-7.955262358801546,-15.225083666450463,-4.3396526203073815,-31.418885529737366,-4.55761004566989,0.0,0.6666666666666666,20.0,2.0,2.0,3.0,0.0,3.0,1.0,0.0,1.0,2.0,2.0,2.0,3.0,2.0,0.0,2.0,4.0,3.6092000000000026,78.73060000000004,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dieldrin,9.133510802469136,-3.1165817901234565,9.133510802469136,0.5535981985386738,0.3426777863228231,380.9129999999998,372.84899999999993,377.87063095600024,104.0,0.0,0.16635904769380647,-0.36896126247287175,0.36896126247287175,0.16635904769380647,0.7894736842105263,1.2105263157894737,1.631578947368421,2.0554005402485687,852.3218377531257,20.8618073195658,16.676035128519224,13.211608804629954,11.772490922088759,9.292141709491545,7.559928547546909,4.904614590040697,8.121794472533859,4.174712663855204,8.253517265405948,3.2841838728886144,5.985024001430135,1.44,639402.0984958394,7.34026470190248,3.2014111163459638,0.9859582678778774,151.20776207850122,4.736862953800049,9.748344582882218,4.33335411348544,0.0,0.0,0.0,0.0,0.0,0.0,23.20187978046503,46.40375956093006,29.94875564278169,8.224551337021321,24.966125870467607,15.702931403161807,69.60563934139509,0.0,0.0,23.575830741452314,32.61465965159701,0.0,10.064572704227194,0.0,0.0,0.0,0.0,0.0,69.60563934139509,26.241734750267632,4.736862953800049,23.575830741452314,17.338993350691137,10.064572704227194,0.0,0.0,0.0,12.53,66.25506309727652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.30857074455687,72.39404872134038,38.49266691861929,-5.213333333333331,-1.1071963970773475,0.0,-12.069984567901233,0.0,-8.496201341647769,0.0,0.0,0.8333333333333334,19.0,0.0,1.0,4.0,1.0,5.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,3.0,1.0,4.0,5.0,4.481400000000002,77.57500000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rotenone,14.548638445347269,-3.8940570672713557,14.548638445347269,1.1363293745537197,0.7399961156347875,394.4229999999998,372.2470000000002,394.1416384240006,150.0,0.0,0.1775661445303485,-0.4928541654982912,0.4928541654982912,0.1775661445303485,1.0344827586206897,1.8620689655172413,2.6551724137931036,1.9008741198570323,1926.2303628190632,39.195787943777134,35.94948974278318,13.949489742783179,22.7105026292538,18.74536559755125,7.745365597551247,5.745365597551247,5.745365597551247,4.136043749344665,4.136043749344665,2.896566719598167,2.896566719598167,-3.1499999999999995,17240138836.232285,5.937666652098025,6.439971855498316,2.584753265743277,199.4343633424217,23.684314769000245,35.96755679666798,17.28226861293275,0.0,0.0,0.0,4.794537184071822,0.0,0.0,0.0,6.531038962001867,30.55225277035483,31.766797929407982,47.46545099354881,58.63554018881697,5.783244946364939,0.0,0.0,0.0,31.278810757888113,20.634890160681465,52.964172797815294,0.0,28.747559166419524,23.684314769000245,0.0,28.747559166419524,0.0,38.578171160946376,6.372924901329379,0.0,64.38742969756647,36.27381832272431,0.0,0.0,0.0,63.22,139.40867782916936,6.165295740242042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.736862953800049,47.73338149477485,204.98050386089855,0.0,14.548638445347269,0.0,-5.3845567795744005,-12.167226838514857,-5.348641861428364,-11.129481207335736,-9.008926803238808,-6.990308816153688,0.34782608695652173,29.0,0.0,6.0,0.0,3.0,3.0,2.0,0.0,2.0,6.0,0.0,6.0,6.0,0.0,0.0,0.0,5.0,3.7033000000000023,105.90450000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
