,MaxEStateIndex,MinEStateIndex,MaxAbsEStateIndex,MinAbsEStateIndex,qed,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,fr_Al_COO,fr_Al_OH,fr_Al_OH_noTert,fr_ArN,fr_Ar_COO,fr_Ar_N,fr_Ar_NH,fr_Ar_OH,fr_COO,fr_COO2,fr_C_O,fr_C_O_noCOO,fr_C_S,fr_HOCCN,fr_Imine,fr_NH0,fr_NH1,fr_NH2,fr_N_O,fr_Ndealkylation1,fr_Ndealkylation2,fr_Nhpyrrole,fr_SH,fr_aldehyde,fr_alkyl_carbamate,fr_alkyl_halide,fr_allylic_oxid,fr_amide,fr_amidine,fr_aniline,fr_aryl_methyl,fr_azide,fr_azo,fr_barbitur,fr_benzene,fr_benzodiazepine,fr_bicyclic,fr_diazo,fr_dihydropyridine,fr_epoxide,fr_ester,fr_ether,fr_furan,fr_guanido,fr_halogen,fr_hdrzine,fr_hdrzone,fr_imidazole,fr_imide,fr_isocyan,fr_isothiocyan,fr_ketone,fr_ketone_Topliss,fr_lactam,fr_lactone,fr_methoxy,fr_morpholine,fr_nitrile,fr_nitro,fr_nitro_arom,fr_nitro_arom_nonortho,fr_nitroso,fr_oxazole,fr_oxime,fr_para_hydroxylation,fr_phenol,fr_phenol_noOrthoHbond,fr_phos_acid,fr_phos_ester,fr_piperdine,fr_piperzine,fr_priamide,fr_prisulfonamd,fr_pyridine,fr_quatN,fr_sulfide,fr_sulfonamd,fr_sulfone,fr_term_acetylene,fr_tetrazole,fr_thiazole,fr_thiocyan,fr_thiophene,fr_unbrch_alkane,fr_urea
"4-methoxy-N,N-dimethyl-benzamide",12.42817046957672,-3.4588736536281184,12.42817046957672,0.5192638652683303,0.6863601614688654,179.21900000000008,166.11499999999995,179.094628656,70.0,0.0,0.2528363683996425,-0.49676776984412796,0.49676776984412796,0.2528363683996425,1.3846153846153846,2.076923076923077,2.6153846153846154,3.675579638592691,674.5909853156129,20.825908934703556,19.263710176427686,6.263710176427685,11.39256996286156,9.533192828945731,3.0331928289457317,1.9467489788813488,1.9467489788813488,1.1210801085154039,1.1210801085154039,0.5707982072364328,0.5707982072364328,-1.51,110210.1297986365,2.1081108079713875,3.9373595701593858,2.211653293069705,96.19068907901892,9.636772684650527,5.749511833283905,0.0,0.0,5.907179729351506,0.0,4.794537184071822,0.0,0.0,0.0,0.0,24.16967483065318,27.739656629282806,16.633262352074127,27.351261368084725,5.907179729351506,0.0,4.899909730850478,0.0,0.0,20.98960625944708,29.733126322350174,0.0,5.749511833283905,4.736862953800049,0.0,5.749511833283905,0.0,31.796695719649065,0.0,0.0,28.177849905981674,24.16967483065318,0.0,0.0,0.0,29.540000000000003,67.27933387528314,4.794537184071822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.736862953800049,17.819861230212858,99.33908234126983,0.0,11.90890660430839,0.0,-1.1341279289493575,-2.77009164777022,-4.397669123204835,0.0,-6.917747307256237,-3.111686271730915,0.3,13.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,3.0,5.0,0.0,0.0,0.0,1.0,1.397,51.011500000000034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanesulfonyl chloride,9.85570987654321,-4.3680555555555545,9.85570987654321,3.074845679012345,0.4214268419517387,114.553,111.52900000000001,113.954228016,32.0,0.0,0.22921249048391262,-0.21251833751856247,0.22921249048391262,0.21251833751856247,2.0,2.2,2.2,4.534784710193742,166.21266925021752,7.0,5.102709344400816,3.675134871346997,3.25,2.191760828527357,3.0011025853546216,0.43784788106143235,2.5323826390890267,0.0,0.0,0.0,0.0,0.23999999999999994,21.30605883387173,1.7971563749580297,1.1431065088757397,369.35111111111144,39.3866303901971,0.0,0.0,0.0,9.050820825821477,0.0,0.0,0.0,8.417796984328938,0.0,0.0,0.0,0.0,14.794664928400147,6.1839241011164585,12.530072652839596,19.733210085710965,0.0,0.0,0.0,0.0,6.1839241011164585,0.0,0.0,0.0,0.0,0.0,0.0,10.682389259889488,14.601721085445396,9.050820825821477,0.0,4.1122756685106605,0.0,0.0,0.0,0.0,34.14,15.234744926937935,8.417796984328938,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.682389259889488,4.1122756685106605,38.301697530864196,0.0,0.0,0.0,0.0,0.0,0.0,-3.074845679012345,0.0,0.050925925925926485,1.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.18480000000000008,20.696799999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3-methylbut-1-ene,7.349537037037037,-3.2890046296296305,7.349537037037037,1.2803240740740736,0.4127372857870009,70.13499999999998,60.05499999999999,70.07825032,30.0,0.0,0.057236125533736464,-0.10282410978035038,0.10282410978035038,0.057236125533736464,1.8,2.6,2.8,5.772015101252134,248.51778521956265,12.654700538379252,12.5,2.5,6.354059275497024,6.0,1.0,0.5,0.5,0.125,0.125,0.0,0.0,-0.26,644.4710389947458,0.3511948030485054,2.0073796791443854,3.740000000000001,47.559121454909885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.531038962001867,19.755855980626926,5.893957685363079,9.59530989319154,4.1122756685106605,13.7075855617022,0.0,0.0,0.0,5.893957685363079,13.703784234591359,0.0,12.583110708037434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.893957685363079,27.411369796293556,12.583110708037434,0.0,0.0,0.0,0.0,32.18085262799187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7075855617022,69.49606481481482,0.0,0.0,0.0,0.0,-3.223379629629629,-1.3310185185185175,0.0,-7.858333333333334,0.0,0.6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.8284,25.03499999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-ethylpyrazine,7.363796296296297,-3.006484315948602,7.363796296296297,0.587877928949357,0.5367952647550015,108.14399999999996,100.08,108.06874825599999,42.0,0.0,0.08595970738395275,-0.2612240357990315,0.2612240357990315,0.08595970738395275,1.375,2.25,3.125,3.3948251883175886,411.7249417817046,12.723614639131599,11.894427190999917,3.8944271909999157,7.07038577068581,5.894427190999916,1.8944271909999157,1.0326237921249264,1.0326237921249264,0.5538118960624632,0.5538118960624632,0.26770509831248424,0.26770509831248424,-0.9200000000000002,1798.3911222057486,1.1509003792329504,2.403301637094403,1.025681072793961,59.840347311525726,0.0,0.0,0.0,0.0,0.0,0.0,9.967957041894417,0.0,0.0,0.0,6.851892117295679,6.372924901329379,25.37247841329538,9.80620366335912,10.96606844936176,0.0,0.0,9.967957041894417,0.0,13.224817018625059,0.0,24.212613627292743,0.0,0.0,0.0,0.0,0.0,0.0,9.967957041894417,6.372924901329379,0.0,23.5118885615059,18.51868563244428,0.0,0.0,0.0,25.78,37.4374306459178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.967957041894417,10.96606844936176,57.20063539304611,0.0,6.550787037037036,0.0,-0.7421296296296294,0.0,0.0,-4.836141817838246,-3.006484315948602,0.0,0.3333333333333333,8.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,1.039,31.40999999999999,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heptan-1-ol,7.58125,-4.173333333333335,7.58125,3.423877905328798,0.5441914935658748,116.20399999999991,100.07599999999998,116.120115132,50.0,0.0,0.2100365348450359,-0.39637656934229265,0.39637656934229265,0.2100365348450359,1.125,1.875,2.625,6.416916932209112,459.5366094629581,20.207106781186546,19.908248290463863,3.908248290463863,10.060660171779821,9.612372435695795,1.7041241452319316,0.7270620726159658,0.7270620726159658,0.3010310363079829,0.3010310363079829,0.11926551815399145,0.11926551815399145,-0.04,27745.345014568844,0.7314552805060156,6.96,5.959999999999999,74.28933572721746,5.1088081911072125,0.0,0.0,1.4311996572326342,0.0,0.0,0.0,0.0,0.0,0.0,32.3435917226132,6.372924901329379,24.378846473129144,2.7415171123404405,25.67018653366051,0.0,1.4311996572326342,0.0,0.0,38.716516623942574,6.558985242916289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.098993091256135,0.0,0.0,59.27789496649592,0.0,0.0,0.0,0.0,20.23,45.27550186685886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1088081911072125,21.992577999785933,116.63640329743008,0.0,0.0,3.423877905328798,0.0,0.0,0.0,-20.342237457483,-7.46804374527589,0.0,1.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,1.9491,35.84479999999999,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"3,5-dimethylphenol",7.634490740740741,-2.907592592592593,7.634490740740741,0.7840277777777771,0.5577043959706656,122.16699999999993,112.08699999999997,122.07316494,48.0,0.0,0.2930925707303631,-0.5079461480132894,0.5079461480132894,0.2930925707303631,1.3333333333333333,2.0,2.4444444444444446,3.878439961436334,458.71694563832,15.171208396324303,14.408248290463863,4.408248290463863,8.424756148408916,7.112372435695795,2.2041241452319316,1.4541241452319316,1.4541241452319316,0.7270620726159658,0.7270620726159658,0.4458120726159658,0.4458120726159658,-0.98,6049.2376512009705,1.2171357512493826,2.094917408045428,1.4567376919048354,69.09189636029157,5.1088081911072125,5.749511833283905,0.0,0.0,1.4311996572326342,0.0,0.0,0.0,0.0,0.0,6.042418707663295,36.91552463331194,8.224551337021321,4.1122756685106605,17.44563519663919,0.0,1.4311996572326342,0.0,0.0,13.703784234591359,0.0,29.254159106383874,0.0,5.749511833283905,0.0,0.0,5.749511833283905,0.0,6.5400078483398465,0.0,13.703784234591359,23.46372998892597,18.127256122989884,0.0,0.0,0.0,20.23,48.70745517425914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1088081911072125,13.768026662764614,72.85462962962963,0.0,0.0,3.994074074074074,-1.6724537037037028,-0.7840277777777771,-2.5770370370370363,0.0,-5.815185185185185,0.0,0.25,9.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,2.0090399999999997,37.5808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2,3-dimethylbutane",7.65625,-4.010416666666668,7.65625,3.8166666666666664,0.4590282783168001,86.17799999999993,72.06599999999999,86.109550448,38.0,0.0,0.02996544468556794,-0.06252913230679805,0.06252913230679805,0.02996544468556794,0.8333333333333334,1.1666666666666667,1.3333333333333333,6.709405496845121,283.8213180711526,17.0,17.0,3.0,8.25,8.25,1.25,0.75,0.75,0.25,0.25,0.0,0.0,0.0,3842.15901671182,0.4155124653739612,2.2222222222222223,2.25,60.233548602162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.407568469182717,11.787915370726157,19.190619786383078,0.0,19.190619786383078,0.0,0.0,0.0,11.787915370726157,27.407568469182717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.787915370726157,46.59818825556583,0.0,0.0,0.0,0.0,0.0,39.19548383990887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.190619786383078,100.78750000000001,0.0,0.0,0.0,0.0,-8.020833333333334,0.0,0.0,-15.26666666666667,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.2984,29.675999999999984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2-methylpentan-2-ol,7.567708333333334,-4.052083333333334,7.567708333333334,3.6731249999999998,0.5606097975915726,102.17699999999992,88.06499999999998,102.104465068,44.0,0.0,0.21082612236234186,-0.39047218162630054,0.39047218162630054,0.21082612236234186,1.2857142857142858,2.142857142857143,2.5714285714285716,6.602384022268972,356.39614600878207,17.707106781186546,17.408248290463863,3.408248290463863,8.810660171779821,8.362372435695795,1.4541241452319316,0.9311862178478973,0.9311862178478973,0.2385310363079829,0.2385310363079829,0.08801551815399145,0.08801551815399145,-0.04,6675.567154836458,0.6205555800980719,2.3141072195146584,5.960000000000001,65.11445261248525,5.1088081911072125,0.0,0.0,1.4311996572326342,0.0,0.0,0.0,0.0,0.0,0.0,13.224817018625059,20.076709135920737,17.819861230212858,5.601050810983688,22.92866942132007,0.0,1.4311996572326342,0.0,0.0,38.90257696552948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.141058659323535,0.0,0.0,51.1213873847587,0.0,0.0,0.0,0.0,20.23,38.90257696552948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1088081911072125,19.251060887445494,100.60541666666667,0.0,0.0,3.6731249999999998,-3.98125,0.0,0.0,-7.9510416666666694,-11.346250000000001,0.0,1.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,1.5574,31.205799999999982,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"1,2-dimethylcyclohexane",8.040625,-4.128125000000001,8.040625,3.9072916666666675,0.4517552971114903,112.21599999999991,96.08799999999998,112.12520051199999,48.0,0.0,0.03025884115229612,-0.06225486301980354,0.06225486301980354,0.03025884115229612,1.0,1.5,1.875,4.183413225721537,475.175950077885,20.0,20.0,4.0,10.0,10.0,2.0,1.25,1.25,0.6875,0.6875,0.3125,0.3125,0.0,30352.951380612172,0.6805555555555556,2.52,1.2396694214876034,74.76754267776158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.195483839908874,11.787915370726157,21.932136898723517,0.0,21.932136898723517,0.0,0.0,0.0,11.787915370726157,39.195483839908874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.787915370726157,61.127620738632444,0.0,0.0,0.0,0.0,0.0,50.98339921063503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.932136898723517,122.01458333333332,0.0,0.0,0.0,0.0,-8.256250000000001,0.0,-15.877083333333339,-7.881250000000001,0.0,1.0,8.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,2.832600000000001,36.79599999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
butan-2-ol,7.171875,-3.479166666666666,7.171875,3.3708333333333345,0.4869274292842043,74.12299999999995,64.04299999999999,74.07316494,32.0,0.0,0.2104304033255422,-0.39343008722162376,0.39343008722162376,0.2104304033255422,1.8,2.8,3.0,5.5013007467698625,226.5573374653365,12.707106781186548,12.408248290463863,2.408248290463863,6.310660171779822,5.862372435695795,0.9541241452319316,0.45412414523193156,0.45412414523193156,0.11353103630798289,0.11353103630798289,0.0,0.0,-0.04,628.9261091739626,0.39911790543591597,2.212525252525253,3.9600000000000004,46.76468638302077,5.1088081911072125,0.0,0.0,1.4311996572326342,0.0,0.0,0.0,0.0,0.0,0.0,6.851892117295679,13.224817018625059,10.96606844936176,7.450776583120208,17.44563519663919,0.0,1.4311996572326342,0.0,0.0,26.156727162870727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.620025875289835,0.0,0.0,32.41353614145272,0.0,0.0,0.0,0.0,20.23,26.156727162870727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1088081911072125,13.768026662764614,68.67270833333333,0.0,0.0,3.5127083333333333,0.0,0.0,0.0,-6.932291666666666,-6.753125000000002,0.0,1.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.7771999999999999,21.971799999999995,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
