test_true_0,test_true_1,test_true_2,test_true_3,test_true_4,test_true_5,test_true_6,test_true_7,test_true_8,test_true_9
2.63,1.71,3.3,-0.72,3.2,2.16,3.99,0.7,0.02,1.09
-0.91,1.9,1.26,0.75,4.24,2.12,4.2,2.6,2.66,1.92
3.21,2.1,2.34,2.71,1.81,0.98,1.57,3.8,1.91,1.0
2.9,0.78,0.8,2.5,-0.71,2.02,0.68,1.69,2.95,3.54
3.07,0.75,2.41,3.32,2.32,2.8,2.5,2.46,3.1,3.1
1.86,2.95,0.8,3.7,3.53,2.08,3.42,1.59,2.98,3.23
3.8,0.42,3.9,3.16,3.1,3.2,1.21,0.37,0.82,1.44
1.11,0.31,3.7,3.21,3.12,2.79,2.3,-0.38,2.34,3.37
3.8,1.44,1.77,2.71,1.49,3.4,0.91,2.18,1.91,-0.07
3.66,1.74,3.91,3.67,4.11,2.93,3.7,3.4,3.15,1.22
-0.4,3.72,3.42,2.2,3.5,2.55,2.41,1.3,3.2,1.57
1.6,1.58,4.06,4.1,2.18,3.7,-0.03,4.37,1.6,2.9
3.15,3.6,1.5,2.1,1.37,3.25,2.95,3.99,3.1,1.91
0.73,-0.8,3.6,2.53,1.11,3.0,2.82,-0.16,1.05,0.76
4.06,0.19,3.3,1.71,3.66,2.2,3.9,4.0,1.3,2.85
3.1,2.24,1.52,3.37,2.26,2.76,2.04,-0.25,0.75,1.41
2.68,2.22,2.18,0.22,2.24,1.25,2.19,2.2,3.3,-0.16
2.94,3.29,-0.69,2.01,-0.99,3.14,1.0,-0.21,2.06,2.57
2.86,2.96,0.52,1.45,3.61,2.63,1.19,1.1,4.0,3.68
2.68,2.48,1.7,1.09,2.7,2.38,2.24,3.13,3.8,1.7
3.01,0.95,1.99,1.1,3.93,0.96,3.68,0.2,2.88,1.64
2.6,1.7,2.32,2.78,4.1,0.11,3.8,2.7,3.45,1.85
-1.1,2.55,-0.12,2.6,1.99,1.22,1.5,1.11,1.47,3.2
3.87,1.3,1.56,2.43,2.07,1.52,4.3,3.1,1.88,1.46
3.1,1.38,2.9,4.24,2.81,1.6,2.22,-0.87,1.89,0.68
1.05,0.92,3.8,2.54,2.6,0.51,3.27,-0.48,2.57,0.23
3.83,0.73,1.0,1.65,3.9,2.48,3.4,2.0,0.89,0.22
-0.15,3.1,3.57,3.02,-0.2,0.74,3.6,2.49,2.2,1.0
0.66,2.34,3.04,1.62,1.1,2.8,3.3,2.1,2.86,0.16
1.11,3.17,1.39,2.9,0.8,2.81,1.84,1.68,2.25,0.65
2.7,2.7,1.98,3.3,2.12,3.3,1.99,3.5,3.15,2.69
2.15,2.79,1.13,3.4,4.0,3.69,1.1,0.15,3.82,2.26
2.37,2.57,2.0,2.78,2.17,0.77,-0.42,3.18,0.66,3.04
2.0,3.52,3.85,-0.28,0.82,2.54,3.66,2.92,4.03,1.85
1.54,1.91,4.02,2.39,1.49,2.94,2.1,3.4,1.2,2.6
4.2,3.16,1.5,2.42,0.52,1.09,2.55,2.92,3.89,1.0
3.9,3.0,2.82,1.78,2.62,2.1,1.97,1.77,3.1,4.07
1.69,1.45,2.68,1.53,1.79,2.87,3.24,0.06,2.14,2.99
2.22,2.1,1.83,3.8,3.5,0.6,3.46,3.34,0.18,-0.8
1.8,2.82,4.2,2.0,3.58,1.8,0.39,0.9,3.65,1.9
-1.2,3.24,0.68,1.65,3.3,2.31,2.84,3.07,1.4,1.51
3.33,3.3,2.2,2.2,2.1,1.05,3.1,1.93,2.5,2.0
2.86,3.6,3.07,1.06,4.28,2.0,3.76,2.19,1.4,-0.54
2.04,-0.04,1.6,1.65,1.27,3.9,3.97,1.74,1.81,1.39
-0.04,2.14,3.1,-0.35,1.65,0.81,1.52,3.6,2.43,2.7
2.49,2.15,2.16,3.49,2.3,-1.02,2.45,1.34,1.71,2.48
3.62,3.0,1.9,0.52,1.33,1.91,1.87,2.12,3.04,3.66
2.6,2.41,2.57,2.22,0.02,2.21,-0.29,2.9,1.91,3.45
0.62,3.22,1.56,1.19,2.97,2.51,3.2,1.77,3.31,2.11
3.65,1.18,1.27,3.15,-0.3,1.93,1.37,0.51,2.45,4.31
1.0,2.83,2.0,3.4,2.1,2.82,3.0,0.31,1.03,2.4
1.8,1.52,1.0,0.22,0.55,1.32,4.28,2.63,3.3,3.27
2.54,3.8,0.79,3.2,3.11,1.6,1.56,2.88,2.1,2.56
2.7,2.85,2.75,0.0,1.27,1.2,3.58,0.8,3.1,2.93
1.05,1.23,3.63,3.07,2.11,4.05,2.1,-0.57,2.8,3.2
1.0,2.88,2.0,2.69,2.03,1.71,1.35,2.8,-0.15,3.15
3.04,-0.13,1.5,2.23,3.6,0.44,2.85,2.59,3.97,3.97
0.63,1.7,2.89,0.97,3.64,2.1,3.5,4.3,2.24,1.79
3.19,4.1,0.7,1.5,2.06,0.33,2.39,3.99,3.04,3.4
1.35,0.87,1.0,2.5,3.8,0.74,2.2,1.44,0.06,3.3
2.7,3.57,0.87,3.8,-0.91,4.04,3.24,-0.98,2.48,2.48
0.96,0.78,4.04,0.7,0.68,2.61,-0.51,3.21,0.94,1.75
