test_true_0,test_true_1,test_true_2,test_true_3,test_true_4,test_true_5,test_true_6,test_true_7,test_true_8,test_true_9,test_true_10,test_true_11,test_true_12,test_true_13,test_true_14,test_true_15,test_true_16,test_true_17,test_true_18,test_true_19,test_true_20,test_true_21,test_true_22,test_true_23,test_true_24,test_true_25,test_true_26,test_true_27,test_true_28,test_true_29
2.63,1.71,3.3,-0.72,3.2,2.16,3.99,0.7,0.02,1.09,2.43,1.1,2.5,1.7,1.86,2.4,0.77,3.17,1.81,3.44,4.38,3.21,1.25,3.8,2.29,1.25,4.0,3.67,2.5,1.81
-0.91,1.9,1.26,0.75,4.24,2.12,4.2,2.6,2.66,1.92,-1.02,3.14,2.79,3.6,2.91,2.37,0.77,1.0,-0.34,3.75,2.93,2.37,3.2,2.91,0.91,3.3,0.3,2.38,0.7,3.14
3.21,2.1,2.34,2.71,1.81,0.98,1.57,3.8,1.91,1.0,2.7,2.3,2.7,4.09,0.4,2.36,3.8,3.4,3.29,3.3,3.55,1.5,3.4,4.2,-1.18,2.26,4.2,3.0,2.51,1.87
2.9,0.78,0.8,2.5,-0.71,2.02,0.68,1.69,2.95,3.54,2.38,1.3,3.61,1.12,1.93,-0.43,1.79,3.07,3.4,1.25,0.9,0.22,-0.1,3.44,0.85,1.7,2.79,3.4,2.38,2.3
3.07,0.75,2.41,3.32,2.32,2.8,2.5,2.46,3.1,3.1,3.07,1.26,-0.49,2.2,2.3,2.46,0.9,2.83,2.4,2.27,2.78,1.7,2.8,3.67,3.5,3.9,-0.27,0.96,0.15,1.2
1.86,2.95,0.8,3.7,3.53,2.08,3.42,1.59,2.98,3.23,2.3,1.85,3.38,2.7,3.4,-0.83,-0.2,1.84,3.12,3.15,3.21,3.17,3.1,2.51,2.8,3.56,-0.83,2.0,2.55,2.67
3.8,0.42,3.9,3.16,3.1,3.2,1.21,0.37,0.82,1.44,1.7,3.11,2.2,3.4,2.7,2.45,2.5,3.74,2.33,3.5,2.0,0.92,1.57,3.3,2.06,1.03,3.31,1.1,1.6,-0.37
1.11,0.31,3.7,3.21,3.12,2.79,2.3,-0.38,2.34,3.37,2.96,0.62,4.01,2.13,2.41,4.2,2.55,3.27,3.5,2.22,2.7,3.86,3.3,3.16,0.77,2.26,3.86,3.64,1.32,2.75
3.8,1.44,1.77,2.71,1.49,3.4,0.91,2.18,1.91,-0.07,3.1,2.6,1.2,3.96,4.17,1.66,3.2,2.6,3.15,1.4,1.23,1.5,1.88,3.7,1.71,1.0,1.43,1.15,1.3,2.04
3.66,1.74,3.91,3.67,4.11,2.93,3.7,3.4,3.15,1.22,1.46,2.58,3.3,1.4,0.75,4.3,0.66,2.1,3.33,1.41,2.72,2.6,0.4,3.6,2.88,3.07,1.91,-0.92,0.49,2.0
-0.4,3.72,3.42,2.2,3.5,2.55,2.41,1.3,3.2,1.57,0.53,-0.11,4.12,0.9,2.01,1.72,2.7,1.8,3.53,-0.29,2.6,1.33,1.18,2.85,2.3,-0.97,2.35,2.7,3.18,1.27
1.6,1.58,4.06,4.1,2.18,3.7,-0.03,4.37,1.6,2.9,2.79,1.11,3.9,2.04,3.16,3.1,3.2,1.86,3.89,4.01,3.46,2.1,3.43,2.0,3.2,2.1,3.5,3.8,1.94,2.3
3.15,3.6,1.5,2.1,1.37,3.25,2.95,3.99,3.1,1.91,3.3,1.47,3.5,2.61,1.6,2.12,3.8,1.75,2.8,3.6,2.56,2.7,2.2,2.7,2.88,-0.05,2.25,0.89,3.71,3.2
0.73,-0.8,3.6,2.53,1.11,3.0,2.82,-0.16,1.05,0.76,1.51,2.97,2.63,4.3,2.89,1.22,3.25,0.75,2.32,1.99,2.43,1.18,3.42,3.26,2.1,3.65,3.3,2.07,0.31,0.38
4.06,0.19,3.3,1.71,3.66,2.2,3.9,4.0,1.3,2.85,0.79,3.2,3.7,2.75,1.6,3.3,2.0,2.32,0.4,1.5,0.53,1.07,1.09,3.23,0.98,3.7,2.4,3.39,1.2,1.42
3.1,2.24,1.52,3.37,2.26,2.76,2.04,-0.25,0.75,1.41,2.88,1.6,0.69,1.92,3.56,0.67,2.79,2.77,1.48,2.99,2.9,0.3,0.6,2.49,0.48,2.8,3.8,3.34,1.7,1.3
2.68,2.22,2.18,0.22,2.24,1.25,2.19,2.2,3.3,-0.16,1.91,1.64,-0.07,1.69,3.63,2.37,1.29,-0.1,3.46,3.44,-0.28,1.68,2.41,3.85,1.83,2.97,2.06,2.05,1.8,3.7
2.94,3.29,-0.69,2.01,-0.99,3.14,1.0,-0.21,2.06,2.57,0.99,3.3,3.12,0.19,3.38,3.49,-0.58,1.26,3.96,3.8,0.66,3.1,3.35,2.81,1.44,-0.4,1.4,1.49,2.21,1.3
2.86,2.96,0.52,1.45,3.61,2.63,1.19,1.1,4.0,3.68,3.83,1.9,3.15,3.0,2.3,3.26,1.0,4.0,1.1,0.44,0.06,3.99,0.6,2.51,2.19,2.88,3.4,3.87,3.23,3.78
2.68,2.48,1.7,1.09,2.7,2.38,2.24,3.13,3.8,1.7,2.6,1.99,-0.16,2.2,-1.2,3.4,1.3,2.81,1.44,0.8,3.56,2.79,3.4,3.05,2.21,0.79,2.17,3.23,2.54,4.06
3.01,0.95,1.99,1.1,3.93,0.96,3.68,0.2,2.88,1.64,2.8,3.0,2.18,2.9,3.19,2.6,3.1,2.72,3.5,2.42,2.29,2.0,2.08,1.79,1.83,0.0,0.67,1.2,2.28,1.2
2.6,1.7,2.32,2.78,4.1,0.11,3.8,2.7,3.45,1.85,2.8,2.8,1.6,3.15,2.55,3.1,-0.86,1.25,1.79,3.2,0.87,2.55,1.78,2.69,2.8,1.65,2.8,2.63,1.06,2.41
-1.1,2.55,-0.12,2.6,1.99,1.22,1.5,1.11,1.47,3.2,2.36,0.33,2.1,1.34,2.4,3.1,3.12,1.38,2.76,2.91,2.56,1.45,3.24,2.35,2.2,2.88,2.59,2.26,3.14,2.75
3.87,1.3,1.56,2.43,2.07,1.52,4.3,3.1,1.88,1.46,1.3,3.63,1.13,4.0,1.15,0.33,2.41,2.02,3.0,1.83,2.28,2.14,2.49,4.33,2.31,2.33,3.81,0.5,0.66,1.64
3.1,1.38,2.9,4.24,2.81,1.6,2.22,-0.87,1.89,0.68,2.1,2.3,3.14,2.99,3.2,1.2,3.9,2.26,1.47,3.15,2.9,2.78,2.3,3.1,2.28,4.1,1.42,1.72,1.69,1.01
1.05,0.92,3.8,2.54,2.6,0.51,3.27,-0.48,2.57,0.23,3.61,1.9,2.84,2.25,2.7,3.92,-0.62,3.15,2.38,1.16,0.64,3.4,0.97,3.02,1.54,2.7,2.86,1.6,1.99,3.3
3.83,0.73,1.0,1.65,3.9,2.48,3.4,2.0,0.89,0.22,0.87,2.7,4.11,2.88,1.49,1.64,2.86,1.46,2.22,-1.17,1.25,2.3,1.79,2.98,1.74,1.73,0.96,2.04,0.8,2.5
